,Unnamed: 0,venue_id,name,lat,lng,address,distance,postal_code,cc,city,state,country,category,tip_count,likes,rating,price_tier,reservations,diningOptions,payments,outdoorSeating,serves
0,0,4c49b0669f2ad13ae72ba353,Oliver Twist,59.31828200379404,18.07000227098256,Repslagargatan 6,2854,,SE,Stockholm,Storstockholm,Sverige,Pub,92.0,267.0,8.5,1.0,Yes,,Credit Cards: Yes,Yes,"Brunch, Lunch, Dinner, "
1,1,4adcdaebf964a520ae5921e3,Wirströms Pub,59.32489717032803,18.06819160116579,Stora Nygatan 13,3592,,SE,Stockholm,Storstockholm,Sverige,Pub,59.0,194.0,8.5,2.0,Yes,No Delivery,Credit Cards: Yes,Yes,"Lunch, Dinner, Dessert, "
2,2,4adcdaebf964a520cf5921e3,Akkurat,59.319809,18.06883,Hornsgatan 18,3035,,SE,Stockholm,Storstockholm,Sverige,Pub,185.0,580.0,9.0,2.0,Yes,Delivery,Credit Cards: Yes (incl. American Express),Yes,Dinner
3,3,4adcdaecf964a520175a21e3,Soldaten Švejk,59.31441959002985,18.07637695608228,Östgötagatan 35,2353,,SE,Stockholm,Storstockholm,Sverige,Pub,53.0,186.0,9.0,,No,"Bar Service, Delivery, ",Credit Cards: Yes (incl. American Express),Yes,"Dinner, Dessert, Happy Hour, "
4,4,4b194789f964a52064da23e3,The Bishops Arms,59.32012573799353,18.064732354176076,Bellmansgatan 12,3141,,SE,Stockholm,Storstockholm,Sverige,Pub,34.0,92.0,8.1,1.0,Yes,,Credit Cards: Yes (incl. Visa & MasterCard),Yes,Dinner
5,5,4bbf3550ba9776b0c6b2fec8,Loch Ness,59.31696081632216,18.06394874507399,Wollmar Yxkullsgatan 5B,2830,,SE,Stockholm,Storstockholm,Sverige,Pub,7.0,30.0,8.4,1.0,,,Credit Cards: Yes,No,
6,6,53bee552498e37b651b34f3e,Pipes Pub & Restaurant,59.30281672605432,18.088233139176776,Hammarby Allé 43,1059,,SE,Stockholm,Storstockholm,Sverige,Pub,2.0,12.0,7.8,1.0,Yes,No Delivery,Credit Cards: Yes,Yes,"Lunch, Dinner, Dessert, Happy Hour, "
7,7,4bcc3b89fb84c9b67dfd1f3e,Harvest Home,59.31353887498578,18.083872720927666,Bondegatan 50,2219,,SE,Stockholm,Storstockholm,Sverige,Pub,13.0,52.0,8.1,1.0,Yes,,Credit Cards: Yes,Yes,Dinner
8,8,4b5492b2f964a520a6c027e3,The Liffey,59.32357637781194,18.070231305468127,Stora Nygatan 42,3422,,SE,Stockholm,Storstockholm,Sverige,Pub,36.0,96.0,7.6,1.0,Yes,,Credit Cards: Yes (incl. American Express),Yes,"Brunch, Dinner, Happy Hour, "
9,9,4c32ee463ffc9521ec7190f5,The Queen's Head,59.33878611805042,18.056702134142387,Drottninggatan 108,5257,,SE,Stockholm,Storstockholm,Sverige,Pub,42.0,147.0,8.0,1.0,Yes,,Credit Cards: Yes,Yes,Dinner
10,10,4ae06a4af964a5201f7f21e3,Tudor Arms,59.334839431483424,18.085573116728447,Grevgatan 31,4592,,SE,Stockholm,Storstockholm,Sverige,Pub,25.0,72.0,7.4,1.0,,,Credit Cards: Yes,Yes,"Lunch, Dinner, "
11,11,4b292103f964a520539924e3,O'Connells,59.32442369352597,18.069038295541674,Stora Nygatan 21,3529,,SE,Stockholm,Storstockholm,Sverige,Pub,28.0,97.0,7.5,,No,No Delivery,Credit Cards: Yes,Yes,"Lunch, Dinner, Happy Hour, "
12,12,4f440a91e4b0cd1a00016844,Oxsvansen,59.334675470052325,18.066026691564673,Malmskillnadsgatan 46,4680,,SE,Stockholm,Storstockholm,Sverige,Pub,4.0,11.0,8.1,1.0,,,Credit Cards: Yes,No,Dinner
13,13,4adcdaedf964a5207c5a21e3,Stampen,59.32529800015715,18.06755518718384,Stora Nygatan 5,3644,,SE,Stockholm,Storstockholm,Sverige,Jazz Club,50.0,136.0,8.3,,,,Credit Cards: Yes,,
14,14,4adcdaedf964a520655a21e3,Half Way Inn,59.316742000000005,18.063347,Swedenborgsgatan 6,2821,,SE,Stockholm,Storstockholm,Sverige,Pub,5.0,37.0,7.4,1.0,No,"Table Service, Bar Service, ",Credit Cards: Yes,Yes,"Dinner, Dessert, Bar Snacks, "
15,15,520fc34511d2e68fb213776a,The Bishops Arms,59.32300562727265,18.068661860292988,Tyska Brinken 36,3381,,SE,Stockholm,Storstockholm,Sverige,Pub,17.0,52.0,7.8,1.0,Yes,,Credit Cards: Yes (incl. Visa),No,"Dinner, Happy Hour, "
16,16,54f04f99498e311c661d5966,Bar Central,59.339199745602954,18.068003354732173,Birger Jarlsgatan 41,5152,,SE,Stockholm,Storstockholm,Sverige,Pub,17.0,70.0,8.4,2.0,Yes,No Delivery,Credit Cards: Yes,No,"Lunch, Dinner, "
17,17,56292aa0498e8ce4441919ab,Old George Inn,59.330267982076556,18.04376676285057,Scheelegatan 12,4667,,SE,Stockholm,Storstockholm,Sverige,Pub,0.0,14.0,7.8,1.0,,,,,Happy Hour
18,18,4adcdaebf964a520c35921e3,The Bishops Arms,59.33221505078743,18.05771153530568,Vasagatan 7,4543,,SE,Stockholm,Storstockholm,Sverige,Pub,53.0,173.0,7.4,1.0,Yes,Delivery,Credit Cards: Yes (incl. American Express),No,"Brunch, Dinner, "
19,19,4ae06a7af964a520207f21e3,Bull and Bear Inn,59.335180528774224,18.073490157978014,Birger Jarlsgatan 16,4664,,SE,Stockholm,Storstockholm,Sverige,Pub,31.0,70.0,7.4,3.0,No,Delivery,Credit Cards: Yes (incl. American Express),Yes,"Dinner, Happy Hour, "
20,20,4c2b6bf38abca593601e0020,Pickwick's,59.329230700000004,18.0661576,Drottninggatan 6,4088,,SE,Stockholm,Storstockholm,Sverige,Pub,40.0,100.0,7.5,,,,Credit Cards: Yes,Yes,"Brunch, Lunch, Dinner, "
21,21,4b8ebc24f964a520e13333e3,Bistro Humlehof,59.31565520201415,18.087325769370008,Folkungagatan 128,2464,,SE,Stockholm,Storstockholm,Sverige,Pub,9.0,11.0,7.5,2.0,No,,Credit Cards: Yes,Yes,
22,22,4afb316ef964a520f31b22e3,Flying Scotsmann Inn,59.333885855939606,18.037269827136125,Fleminggatan 28,5199,,SE,Stockholm,Storstockholm,Sverige,Pub,11.0,40.0,7.4,1.0,Yes,,Credit Cards: Yes,Yes,Dinner
23,23,51a12a8b498eeb0fb7ba2a13,Viking Bar,59.31875930229021,18.06130593533832,Hornsgatan 37,3073,,SE,Stockholm,Storstockholm,Sverige,Pub,3.0,29.0,7.5,1.0,,,Credit Cards: Yes,No,"Lunch, Dinner, Happy Hour, "
24,24,523c6a02498eaf5c53b4c5e9,The Bishops Arms,59.31577792351218,18.037588013179892,Hornsgatan 154,3596,,SE,Stockholm,Storstockholm,Sverige,Pub,8.0,34.0,7.3,1.0,,,Credit Cards: Yes,No,Dinner
25,25,4c9cb5199975a143948034cf,S:ta Clara Bierhaus,59.32357930291243,18.06900562662878,Lilla Nygatan 17,3438,,SE,Stockholm,Storstockholm,Sverige,Pub,13.0,35.0,7.2,2.0,Yes,No Delivery,Credit Cards: Yes,No,Dinner
26,26,4c0a5cc0a1b32d7f6d2199f0,Black & Brown Inn,59.318978094839906,18.063120382121856,Hornsgatan 50B,3055,,SE,Stockholm,Storstockholm,Sverige,Pub,13.0,55.0,7.2,1.0,,,Credit Cards: Yes,No,"Dinner, Happy Hour, "
27,27,4b3f9827f964a520e5a925e3,MacKinlay's Inn,59.33442338224057,18.031949400901798,Fleminggatan 85,5409,,SE,Stockholm,Storstockholm,Sverige,Pub,10.0,34.0,7.3,1.0,,,Credit Cards: Yes,Yes,Dinner
28,28,4b42f629f964a5204cdb25e3,Restaurang il Coure,59.29002312746057,18.091705568304288,Fyrvaktarkroken 16,608,,SE,Stockholm,Storstockholm,Sverige,Pub,5.0,6.0,7.0,1.0,,No Delivery,Credit Cards: Yes,Yes,
29,29,4b8ec920f964a520073733e3,Rosa Drömmar,59.325361092302984,18.008209241333173,Essinge Brogata 5,5554,,SE,Stockholm,Storstockholm,Sverige,Pub,6.0,8.0,7.7,2.0,,,Credit Cards: Yes,Yes,"Lunch, Dinner, "
30,30,50c0cbb9e4b01109e244886c,The Flying Elk,59.323085,18.068832999999998,Mälartorget 15,3387,,SE,Stockholm,Storstockholm,Sverige,Gastropub,73.0,240.0,8.5,3.0,Yes,,Credit Cards: Yes (incl. Visa),No,Dinner
31,31,4adcdaf0f964a520645b21e3,Bagpiper's Inn,59.34049847823453,18.031258125787485,Rörstrandsgatan 21,6007,,SE,Stockholm,Storstockholm,Sverige,Pub,26.0,72.0,7.4,1.0,,Delivery,Credit Cards: Yes,Yes,Dinner
32,32,4adcdaf1f964a520955b21e3,Birkastans Pizzeria,59.3408403363281,18.03281525154315,Vikingagatan 16,5998,,SE,Stockholm,Storstockholm,Sverige,Pub,13.0,41.0,7.6,1.0,No,No Delivery,Credit Cards: Yes,Yes,"Lunch, Dinner, "
33,33,4adcdaecf964a520f25921e3,Kvarnen,59.31483299999999,18.074074,Tjärhovsgatan 4,2424,,SE,Stockholm,Storstockholm,Sverige,Pub,63.0,178.0,7.0,2.0,Yes,Delivery,Credit Cards: Yes,No,"Brunch, Lunch, Dinner, "
